"國語漢字","台語拼音","國語注釋"
"自卑","zu3-bi1","覺得自己比不上別人。“自卑感”（zu3-bi2-gam4）。"
"自殺","zu3-sat2","自己尋死。"
"自新","zu3-sin1","改過向善重新做人。"
"自信","zu3-sin3","信任自己。"
"自習","zu3-sip1","自己學習。"
"自修","zu3-siu1","自己溫習功課。"
"自首","zu3-siu4","犯罪的人自己去向治安機關坦白承認。"
"自私","zu3-su1","只圖自己的利益。"
"自治","zu3-di2","自己處理自己的事務。“地方自治”（de3-hng2-zu3-di2）。"
"自動","zu3-dong2","不藉他力而動作。"
"自大","zu3-dua2","自傲。"
"自傳","zu3-duan2","用文字來自述生平。"
"自盡","zu3-zin2","自殺。"
"自從","zu3-ziong5","從此。"
"自在","zu3-zai2","任意。"
"自助","zu3-zo2","自己努力做事，不靠別人幫忙。"
"自主","zu3-zu4","自己有主張、主權，不受他人干涉。"
"自轉車","zu3-zuan1-cia1","自行車。"
"自尊","zu3-zun1","自己尊重自己保持自己的尊嚴。"
"自稱","zu3-cing1","表明自己的身分。"
"二月","ri3-(gheh1/ghueh1)","一年中第二個月。"
"二十二","ri2-zap3-ri2","數目的22。"
"二樓","ri2-lau5","第二層樓上。"
"二流","ri2-liu5","不很高級、次級。"
"二等","ri2-ding4","第二級、第二。"
"二元論","ri2-ghuan2-lun2","兩極對立理論。"
"不二心","but1-ri3-sim1","忠誠不二的心。"
"初二","(ce2/cue2)-ri2","每個月第二日。"
"二〔兩〕個人","lng3-e2-lang5",
"二〔兩〕角","lng3-gak2","兩毛錢。"
"二〔兩〕百二","lng2-bah1-(ri2/ghi2/li2)","又音（(ri2/ghi2/li2)-a1-ri2）220。"
"理學","li1-hak1","自然科學的總稱。"
"理髮","li1-huat2","修剪頭髮。"
"理由","li1-iu5","道理上的原由。"
"理解","li1-gai4","了解，明白事理。"
"理氣","li1-ki3","理由、道理。"
"理論","li1-lun2","據理爭論。"
"理性","li1-sing3","思考的能力。"
"理想","li1-siong4","根據事理構想。"
"理事","li1-su2","治事、團體的幹部。"
"理智","li1-di3","理性的。"
"無理","bhor2-li4","不講道理。"
"不理","but1-li4","不予理會。"
"道理","dor3-li4","作人處事的法則。"
"哲理","det1-li4","宇宙人生的根本原理、道理。"
"天理","ten2-li4","天然的公理。"
"歪理","uai2-li4","似是而非的道理。"
"起霧","ki1-bhu2","產生模糊。"
"起碼","ki1-bhe4","最低限度。"
"起花","ki1-hue1","無理取鬧。"
"起價","ki1-ge3","漲價。"
"起行","ki1-giann5","出發。"
"起見","ki1-gen3","着想。"
"起去","ki4-ki0","上去。"
"起來","ki4-lai0","上來、起床。"
"起歹","ki1-painn4","兇起來。"
"起屁面","ki1-pui4-bhin2","不認帳、翻臉。“輸（su1）suah-ki1-pui4-bhin2。”"
"起驚","ki1-giann1","開始害怕。"
"起頭","ki1-tau5","又說“起先”（ki1-sian1），開始、開頭。"
"起厝","ki1-cu3","蓋房屋。"
"起性地","ki1-sing4-de2","發脾氣。"
"起無空","ki1-bhor2-kang1","無事生非。"
"早起","za1-ki4","早起、早上。"
"紙起黃","zua4-ki1-ng5","紙變黃。"
"看無起","kuann4-bhor2-ki4","看不起。"
"起起落落","ki1-ki1-lorh3-lorh1","上上下下，上下不定。"
"小兒","siau1-(ri5/ghi5/li5)",
"小人","siau1-(rin5/ghin5/lin5)",
"小氣","siau1-ki3","又音（sior1-ki3）。"
"小便","siau1-ben2","又音（sior1-bian2）。"
"小說","siau1-suat2","虛構的故事。"
"小數","siau1-so3","又音（sior1-so3）。"
"小賣","sior1-(bhe2/bhue2)","零售。"
"小妹","sior1-(bhe2/muai2)","妹妹。"
"小學","sior1-hak1","兒童教育的學校。"
"小姑","sior1-go1","夫之妹。"
"小口","sior1-kau4","食量少。"
"小可","sior1-kua4","若干、一些。"
"小包","sior1-bau1","包裹。"
"小氣","sior1-ki3","心胸狹窄。"
"小心","sior1-sim1","謹慎。"
"小膽","sior1-dann4","膽小。"
"小事","sior1-su2","又說“小代誌”（sior1-dai3-zi3）。"
"小腸","sior1-dng5","細長的腸。"
"小姐","sior1-zia4","年輕姑娘。"
"小停","sior1-ting5","等一下、暫停。"
"大小","dua3-sior4","尺寸的程度。“大細”（dua3-(se3/sue3)）。"
"物價","bhut3-ge3","貨物的價格。"
"物理","bhut3-li4","研究物體的性質，運動、變化等的原理。"
"物力","bhut3-lik1","物質的量。"
"物品","bhut3-pin4","各種東西。"
"物產","bhut3-san4","出產的物品。"
"物色","bhut3-sik2","訪求。"
"物質","bhut3-zit2","有形物的總稱。"
"物資","bhut3-zu1","可以用來生產、使用的物質。"
"貨物","(he4/hue4)-bhut1","商品、物品。"
"人物","rin2-bhut1","出色的人才。"
"動物","dong3-bhut1","活動的生命體。"
"物價","mih3-ge3","物品價格。"
"物件","mih3-giann2","東西、物品。"
"物配","mih3-(pe3/pue3)","佐膳的菜餚。"
"好物","hor1-mih1","好東西。"
"啥物","siann1-mih1","什麼（東西）。“啥”又作“甚”，啥物又寫成“甚乜”（sim1-mih1）。"
"現行","hen3-hing5","現在通行。"
"現況","hen3-hong4","目前的狀況。"
"現任","hen3-rim2","現在正擔任的。"
"現今","hen3-gim1","現在。"
"現金","hen3-gim1","與“現款”（hian3-kuan4）、“現錢”（hian3-zinn5）。"
"現成","hen3-sing5","已經有的。"
"現象","hen3-siong2","通稱事情的發展跟變化。"
"現實","hen3-sit1","說人勢利短視，只顧眼前，目前的事實。"
"現代","hen3-dai2","當代。"
"現場","hen3-(dionn5/diunn5)","當場。"
"現在","hen3-zai2","目前，如今。"
"現狀","hen3-zong2","目前的狀態。"
"現住址","hen3-zu3-zi4","現在的地址。"
"顯現","hen1-hen2","呈現。"
"出現","cut1-hen2","顯現出來。"
"現現有講、講無講","hen3-hen3-u3-gong4-gong1-bhor2-gong4","明明是講了而說沒講。"
"實驗","sit3-ghiam2","親身實地試驗。"
"實業","sit3-ghiap1","農、礦、工、商等經濟事業的總稱。"
"實學","sit3-hak1","有益社會的學問。"
"實行","sit3-hing5","實際的去做。"
"實現","sit3-hen2","把理想變成事實。"
"實用","sit3-iong2","實際應用。"
"實力","sit3-lik1","實際的力量。"
"實施","sit3-si1","實際的去施行。"
"實習","sit3-sip1","實地學習。"
"實事","sit3-su2","真實不虛假的事。"
"實在","sit3-zai2","實際，真正的。"
"實際","sit3-ze3","真實的情形。"
"實情","sit3-zing5","實在的情況。"
"實踐","sit3-zen2","實實在在做。"
"實質","sit3-zit2","本質。"
"誠實","sing2-sit1","實實在在，不騙人。"
"事實","su3-sit1","事情的真相。"
"真實","zin2-sit1","不虛偽，事實。"
"充實","ciong2-sit1","內容充足豐富。"
"實〔塞〕腹","zat3-bak2","內容充實。"
"實〔塞〕鼻","zat3-pinn2","鼻塞不通。"
"實〔塞〕捅捅","zat3-tong1-tong4","阻塞不通，擁擠。"
"加油","ga2-iu5","激勵、鼓勁兒、打氣，又說“添油”（tinn2-iu5）。"
"加油站","ga2-iu2-zam2","賣汽油的地方。"
"加熱","ga2-let1","增加熱度。"
"加入","ga2-rip1","參加。"
"加工","ga2-gang1","加進人為的作業。"
"加強","ga2-giong5","使強固。"
"加落","ga2-lak1","又說“拍加落”（pah1-ga2-lak1）掉落、遺失。"
"加令","ga2-ling2","一種善仿人言的小鳥（黑色）。"
"加侖","ga2-lun5","容量單位gallon，美制約4公升，英制4.5公升。又略作“嗧”，為1／8-bushel。"
"加班","ga2-ban1","下班後繼續工作。"
"加倍","ga2-bue2","照原數加一倍。"
"加深","ga2-cim1","增加深度。"
"一加二","it2-ga2-ri2","即三。"
"累加","lui2-ga1","連續增加。"
"增加","zing2-ga1","口語“加添”（ge2-tinn1），文音（ga2-tiam1）。"
"加減","ge2-giam4","多少、若干，如“加減仔趁卡-(bhe/bhue)-散”（ge2-giam1-a1-tan3-kah1-(bhe3/bhue3)-san3）能賺就賺一點兒才不致窮乏。又音（ga2-giam4）時則義為算法名稱，如“加減乘除”（ga2-giam4-sing2-du5）。"
"加講話","ge2-gong1-ue2","說多餘的話。"
"加添","ge2-tinn1","追加，讀文言音（ga2-tiam1），意為增加。"
"加淡薄仔","ge1-dam3-borh1-a0","增加一點兒。加一屑仔（ge1-zit3-sut2-a3）。"
"加工","ge2-gang1","多花了工夫。"
"加人加福氣","ge2-lang5-ge2-hok1-ki3","多一個人多一份福。"
"量約","liong3-iok2","大約，又說“量其約”（liong3-gi2-iok2）。"
"量剩","liong3-siong2","有餘量、充裕“有量剩錢”（u3-liong3-siong3-zinn5）。"
"量詞","liong3-su5","助數詞。"
"量早","liong3-za4","提早、儘早。"
"無量","bhu2-liong2","無限量、如讀作（bhor2-liong2）時，則為沒度量、小氣、心胸窄小的意思。"
"器量","ki4-liong2","才能、有度量。"
"數量","so4-liong2","事物的多少數和量。"
"膽量","dam1-liong2","勇氣。"
"酒量","ziu1-liong2","喝酒的能力。"
"雨量","u1-liong2","雨水的量。"
"度量衡","do3-liong3-hing5","指測量、長短、面積、體積的儀器。"
"量仔","niu2-a4","量稱較重量用的大型桿秤。"
"量豬","niu3-di1","稱豬的重量。"
"量身軀","niu3-sing2-ku1","量身材。"
"量1斗米","niu3-zit3-dau1-bhi4","買一斗米。"
"都合","do2-hap1","情況、境遇。"
"都來","do2-lai5","已經來，如“人都來嘍”（lang5-do2-lai5-lo0）。"
"都是","do2-si2","如“都是汝毋着”（do2-si3-li1-m3-diorh1）都是你不對。"
"都市","do2-ci2","人口多的大城市。"
"首都","siu1-do1","中央政府所在地。"
"兩面","liong1-bhin2","兩個面向。"
"兩方","liong1-hong1","雙方、兩造。"
"兩可","liong1-kor4","喻不善判斷。"
"兩全其美","liong1-zuan5-gi2-bhi4","使兩方面都好。"
"體面","te1-bhin2","面又音（bhian2）。"
"體會","te1-hue2","設身處地，深入的理解領會。"
"體育","te1-iok1","身體活動的教育。"
"體格","te1-geh2","身體的高矮大小。"
"體罰","te1-huat1","加於身體的責罰。"
"體重","te1-dang2","身體的重量"
"體力","te1-lik1","力又音（lat1）指人的身體在生活與活動的能力。"
"體諒","te1-(liang2/liong2)","為人設想諒解。"
"體態","te1-tai2","人體的形態。"
"體制","te1-ze3","法式，制度。"
"體質","te1-zit2","身體性質。"
"體裁","te1-cai5","文學作品的表現形式。"
"體操","te1-cau1","身體操作的運動。"
"供體","ging2-te4","挖苦，辱罵。"
"形體","hing2-te4","身體形態、特徵。"
"人體","rin2-te4","人的身體，肉體。"
"固體","go4-te4","固形物質。"
"無體","bhor2-te4","（無體統bhor2-te1-tong4）沒規矩、格局。"
"實體","sit3-te4","具體存在的事物。"
"男人女體","lam2-rin5-(lu1/li1)-tue4",
"-za-姥體","za2-bho1-(tue4/te4)","女人樣態。"
"制限","ze4-han2","限制。"
"製法","ze4-huat2","製造的方法。"
"制服","ze4-hok1","規定的服裝。"
"製版","ze4-ban4","製底版。"
"製品","ze4-pin4","製好的物品。"
"制定","ze4-ding2","定出規章辦法。"
"製圖","ze4-do5","繪製圖案。"
"制度","ze4-do2","制定的法度。"
"製造","ze4-zor2","加工成可用物品。"
"製作","ze4-zok2","造作。"
"制止","ze4-zi4","用權力禁止。"
"制裁","ze4-cai5","用法律或社會力量，對人加以約束或處分。"
"壓制","ap1-ze3","用強力壓服人家。"
"限制","han3-ze3","規定不能超過的範圍。"
"體制","te1-ze3","法式，制度。"
"台灣製","tai2-uan2-ze3","台灣製造的。"
"機密","gi2-bhit1","緊要秘密的事。"
"機械","gi2-hai5","比喻呆板沒有變化。"
"機會","gi2-hue2","行動的適當時機。"
"機器","gi2-ki3","電力操作的生產器具。"
"機能","gi2-ling5","活動的功能。"
"機場","gi2-(dionn5/diu5)","又說“飛機場”（hui2-gi2-(dionn5/diunn5)）。"
"良機","liong2-gi1","好機會、好時機。"
"動機","dong3-gi1","動作發生的原因。"
"軍機","gun2-gi1","軍事機密，軍用飛機。"
"當然","dong2-len5","應當這樣。"
"當日","dong2-rit1","這一天。"
"當局","dong2-giok1","身當其事的人。"
"當時","dong2-si5","在那時。"
"當值","dong2-dit1","輪到值班日。"
"當事者","dong2-su3-zia4","跟這件事情有直接關係的人。"
"敢當","gam1-dong1","勇於承擔。"
"便當","ben3-dong1","盒飯。"
"相當","siong2-dong1","雙方差不多。"
"手當","ciu1-dong1","津貼。"
"當選","dong4-suan4","被選舉上。"
"當做","dong4-(zue3/zor3)","看成。"
"當真","dong4-zin1","當做是真的，常說“當做真”。"
"適當","sik1-dong3","合適。"
"妥當","tor4-dong3","適當，穩當。"
"以一當十","i1-it2-dong4-zap1","一個人相當於十個人。"
"當時","dang2-si5","什麼時候？"
"彼當陣","hit1-dang2-zun2","那時候。"
"當中","dang2-diong1","正中。"
"會當","e3-dang3","能夠。"
"穩當","un1-dang3","確實、必然。"
"當面","dng2-bhin2","正對着對方。"
"當等","dng2-dan4","正在守候。"
"當好食","dng2-hor1-ziah1","正好吃的時候。"
"花當紅、人當水〔美〕","hue1-dng2-sui4","花正紅、人正是漂亮的時候。"
"當頭白日","dng2-tau2-beh3-rit1","大白天（太陽照耀之下）。"
"拄當拄當","du1-dng3-du1-dng2","碰巧。"
"當其時","dng2-gi2-si5","當時。"
"當印仔","dng5-in1-a4","蓋章，又作“頓印仔”。"
"當店","dng5-diam3","當舖。"
"提去當","teh3-ki4-dng3","拿去典當。"
"使命","su1-bhing2","人們所承受的職責、任務。"
"使用","su1-iong2","使發生作用。"
"小使仔","siau1-su1-a4","小差使。"
"使節","su4-zet2","使者。"
"使者","su4-zia4","奉使命的人。"
"差使","ce2-su3","差遣，即〈差教ce2-gah2〉。"
"差教","ce2-gah2",
"亂使","luan3-su3","胡亂地使用、差遣。“亂使講”（luan3-su4-gong4）亂講。“亂使食”（luan3-su4-ziah1）亂講話。“亂使”即“濫摻”（lam3-sam4）。"
"使目尾","sai1-bhak3-(bhe4/bhue4)","飛眼、送秋波。"
"使鬼","sai1-gui4","使鬼效勞。"
"無牛使馬","bhor2-ghu5-sai1-bhe4","沒有牛只好使用馬、喻沒好人才，只好濫芋充數。"
"使弄","sai1-(lang2/long2)","唆使、慫恿。又〈煽動sian4-dong2〉。"
"煽動","sen4-dong2",
"會使〔得〕","e3-sai4-dit0","做得、可以。"
"使性","sai1-sing3","使性子、發脾氣，又說“使性地”（sai1-sing4-de2）。"
"使館","sai4-guan4","駐外國使節辦公處。"
"大使","dai3-sai3","派駐外國的最高使節。"
"點目藥","diam1-bhak3-iorh1","點眼藥水。"
"點火","diam1-(he4/hue4)","引火。"
"點貨","diam1-hue3","清查貨品數量。"
"點名","diam1-mia5","按名冊清查人數。"
"點破","diam1-pua3","揭露、指點。"
"點心","diam1-sim1","零食。"
"點收","diam1-siu1","一一驗收。"
"點燈","diam1-ding1","把燈點亮。"
"起點","ki1-diam4","開頭。"
"點醒","diam1-(cenn4/cinn4)","指示、啟發，又說“指點”（zi1-diam4）。"
"…點…","diam4","又說“…點鐘”（…diam-zing1）…點鐘。"
"烏點","o2-diam4","黑斑點。"
"新點點","sin2-diam1-diam4","喻很新。"
"從犯","ziong2-huan2","幫助他人做犯罪事件的人。"
"從軍","ziong2-gun1","當兵，加入軍隊。"
"從來","ziong2-lai5","“從”又音（zing2）自以前到現在。"
"從事","ziong2-su2","做某種事情。"
"從速","ziong2-sok2","儘快，加快。"
"從細","ziong2-(se3/sue3)","“從”又音（zing5）從小的時候。"
"從頭","ziong2-tau5","“從”又音（zing2-tau5）自起初開始。"
"從昨日起","ziong2-za1-(rit3/ghit3/lit3)-ki4","“從”又音（zing2）。"
"服從","hok3-ziong5","聽從命令。"
"屈從","kut1-ziong5","勉強服從。"
"侍從","si3-ziong5","跟隨侍奉。"
"主從","zu1-ziong5","主僕。"
"天從人願","ten1-ziong5-rin2-ghuan2","上天接受人的心願。"
"業務","ghiap3-bhu2","職業上的事務。"
"業餘","ghiap3-i5","非職業性的。"
"業產","ghiap3-san4","財產。"
"業主","ghiap3-zu4","房屋、土地等產業的所有人。"
"業績","ghiap3-zik2","功業的成績。"
"行業","hang2-ghiap1","職業。"
"肄業","i3-ghiap1","修習學業。"
"口業","kau1-ghiap1","多說是非是一種罪行、罪業。"
"畢業","bit1-ghiap1","又“卒業”（zut1-ghiap1），完成某階段的學業。"
"職業","zit1-ghiap1","謀生的行業。"
"本文","bun1-bhun5","文章的正文。"
"本行","bun1-hang5","原來的行業。"
"本分","bun1-hun2","主要的身分職務。"
"本國","bun1-gok2","自己所屬的國家。"
"本來","bun1-lai5","原來。"
"本人","bun1-lang5","自己。"
"本領","bun1-ling4","義同本事（bun1-su2），又說“才調”（zai2-diau2），“才情”（zai2-zing5）、“有板”（u3-ban4）。"
"本能","bun1-ling5","生來就有的能力。"
"本名","bun1-mia5","原名，“正名”-（ziann4-mia5）"
"本部","bun1-bo2","中心部份。"
"本性","bun1-sing3","天生的性質。"
"本身","bun1-sin1","自己，本人。"
"本底","bun1-de4","原來、本來。"
"本題","bun1-de5","主要的題目。"
